method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
random,action_clipping,0.3,0.13333333333333333,-48.266666666666666,0.16435531875514295,50.0,0.7261002759138743,0.530120454231898,0.0,0.0,30,0.13333333333333333,0.0,0.13333333333333333,1.0,0.0,0.25333333333333335,0.19666666666666666,0.19666666666666666
random_recovery,action_clipping,0.3,1.0,-6.733333333333333,0.011805329113733708,50.0,0.21913643181324005,0.218679911394914,0.0,1.0,30,1.0,0.8361834920874844,1.0,1.0,1.0,0.9672366984174969,0.9672366984174969,0.9672366984174969
rule_based,action_clipping,0.3,1.0,-7.1,0.002778670678297086,50.0,0.010300960174451273,0.09738464405139287,0.0,0.0,30,1.0,0.9841814328344347,1.0,1.0,0.0,0.796836286566887,0.696836286566887,0.696836286566887
rule_based_recovery,action_clipping,0.3,1.0,-7.1,0.002778670678297086,50.0,0.010300960174451273,0.09738464405139287,0.0,0.2,30,1.0,0.9841814328344347,1.0,1.0,0.2,0.836836286566887,0.756836286566887,0.756836286566887
sac_her,action_clipping,0.3,1.0,-6.466666666666667,0.018013327615077408,50.0,0.02279301087061564,0.2844032802929481,0.0,0.0,30,1.0,0.9216836575217795,1.0,1.0,0.0,0.7843367315043559,0.6843367315043559,0.6843367315043559
sac_her_recovery,action_clipping,0.3,1.0,-6.466666666666667,0.017781954814049632,50.0,0.0659888556227088,0.27259422031541664,0.0,0.9333333333333333,30,1.0,0.8987322366069841,1.0,1.0,0.9333333333333333,0.9664131139880635,0.9597464473213968,0.9597464473213968
sac_plain,action_clipping,0.3,1.0,-6.466666666666667,0.018013327615077408,50.0,0.02279301087061564,0.2844032802929481,0.0,0.0,30,1.0,0.9216836575217795,1.0,1.0,0.0,0.7843367315043559,0.6843367315043559,0.6843367315043559
sac_plain_recovery,action_clipping,0.3,1.0,-6.466666666666667,0.017781954814049632,50.0,0.0659888556227088,0.27259422031541664,0.0,0.9333333333333333,30,1.0,0.8987322366069841,1.0,1.0,0.9333333333333333,0.9664131139880635,0.9597464473213968,0.9597464473213968
