method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
random,goal_spoof_immediate,0,0.1,-50.0,0.0,0.1711715026393441,50,1.5978093147277832,1.0973702669143677,1.0,0.0,4
random_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.311762603000865,50,1.395343542098999,1.0042587518692017,1.0,0.0,4
random,goal_spoof_immediate,0,0.1,-50.0,0.0,0.1643695917146077,50,1.306265950202942,1.033311367034912,1.0,0.0,5
random_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.2680794444727328,50,1.420088529586792,0.9651720523834229,0.0,1.0,5
random,goal_spoof_immediate,0,0.1,-46.0,1.0,0.2911375912972928,50,1.6023386716842651,1.1596379280090332,1.0,0.0,6
random_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.2411880063142971,50,1.1030633449554443,0.7905248999595642,1.0,1.0,6
random,goal_spoof_immediate,0,0.1,-50.0,0.0,0.2037245211422814,50,1.483513355255127,1.128637671470642,1.0,0.0,7
random_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.2247418494643643,50,1.4030020236968994,1.1118911504745483,1.0,0.0,7
random,goal_spoof_immediate,0,0.1,-49.0,1.0,0.18579422413346,50,1.6255189180374146,1.1596384048461914,1.0,0.0,8
random_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.1897174191897283,50,0.9574546217918396,0.6751757264137268,1.0,1.0,8
random,goal_spoof_immediate,0,0.1,-50.0,0.0,0.3281645992956505,50,1.6197285652160645,1.1162623167037964,1.0,0.0,9
random_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.2178429209375104,50,1.2711999416351318,0.928291380405426,1.0,1.0,9
random,goal_spoof_midep,0,0.1,-50.0,0.0,0.3554032224524983,50,1.4704833030700684,1.1197056770324707,1.0,0.0,0
random_recovery,goal_spoof_midep,0,0.1,-50.0,0.0,0.3320586454881986,50,0.8178524374961853,0.6415001749992371,0.0,1.0,0
random,goal_spoof_midep,0,0.1,-50.0,0.0,0.0856559475490374,50,1.4564335346221924,1.0861656665802002,1.0,0.0,1
random_recovery,goal_spoof_midep,0,0.1,-50.0,0.0,0.2961647156456108,50,1.031301498413086,0.7363038659095764,1.0,1.0,1
random,goal_spoof_midep,0,0.1,-50.0,0.0,0.2087608521071597,50,1.5720736980438232,1.2021368741989136,1.0,0.0,2
random_recovery,goal_spoof_midep,0,0.1,-48.0,1.0,0.0978617465208265,50,1.502195119857788,1.140791416168213,1.0,0.0,2
random,goal_spoof_midep,0,0.1,-50.0,0.0,0.2085888926632258,50,1.6677191257476809,1.1721045970916748,1.0,0.0,3
random_recovery,goal_spoof_midep,0,0.1,-50.0,0.0,0.3079273835194747,50,1.2320871353149414,0.8512172698974609,0.0,1.0,3
random,goal_spoof_midep,0,0.1,-50.0,0.0,0.251330912025933,50,1.5108458995819092,1.1073046922683716,1.0,0.0,4
random_recovery,goal_spoof_midep,0,0.1,-50.0,0.0,0.1600207410294973,50,1.3973430395126345,0.9856235980987548,1.0,1.0,4
random,goal_spoof_midep,0,0.1,-50.0,0.0,0.1430382993341125,50,1.439772367477417,1.1117569208145142,1.0,0.0,5
random_recovery,goal_spoof_midep,0,0.1,-50.0,0.0,0.1217513639583465,50,1.534181833267212,1.0842158794403076,1.0,0.0,5
random,goal_spoof_midep,0,0.1,-50.0,0.0,0.3188737115611356,50,1.518518567085266,1.092620015144348,1.0,0.0,6
random_recovery,goal_spoof_midep,0,0.1,-48.0,1.0,0.1196786381324901,50,1.478262186050415,1.063997507095337,1.0,1.0,6
random,goal_spoof_midep,0,0.1,-50.0,0.0,0.3593683925233179,50,1.5211597681045532,1.1006982326507568,1.0,0.0,7
random_recovery,goal_spoof_midep,0,0.1,-50.0,0.0,0.306676588942301,50,1.0249319076538086,0.8263323307037354,1.0,1.0,7
random,goal_spoof_midep,0,0.1,-50.0,0.0,0.2664626864233365,50,1.539614200592041,1.1271936893463137,1.0,0.0,8
random_recovery,goal_spoof_midep,0,0.1,-50.0,0.0,0.3275217889023175,50,1.1024035215377808,0.8160575032234192,1.0,1.0,8
random,goal_spoof_midep,0,0.1,-50.0,0.0,0.2584946510445542,50,1.5129806995391846,1.10154128074646,1.0,0.0,9
random_recovery,goal_spoof_midep,0,0.1,-50.0,0.0,0.1861850769313472,50,1.0603384971618652,0.7621667981147766,1.0,1.0,9
rule_based,sensor_dropout,0,0.0,-6.0,1.0,0.0221413905476742,50,0.0148962773382663,0.1720694005489349,0.0,0.0,0
rule_based_recovery,sensor_dropout,0,0.0,-6.0,1.0,0.0221413905476742,50,0.0148962773382663,0.1720694005489349,0.0,0.0,0
rule_based,sensor_dropout,0,0.0,-6.0,1.0,0.0008745577086456,50,0.01763316988945,0.1044882982969284,0.0,0.0,1
rule_based_recovery,sensor_dropout,0,0.0,-6.0,1.0,0.0008745577086456,50,0.01763316988945,0.1044882982969284,0.0,0.0,1
rule_based,sensor_dropout,0,0.0,-5.0,1.0,0.0008531807570535,50,0.0134949255734682,0.0829356014728546,0.0,0.0,2
rule_based_recovery,sensor_dropout,0,0.0,-5.0,1.0,0.0008531807570535,50,0.0134949255734682,0.0829356014728546,0.0,0.0,2
rule_based,sensor_dropout,0,0.0,-6.0,1.0,0.0026074233586372,50,0.0174224078655242,0.1125643551349639,0.0,0.0,3
rule_based_recovery,sensor_dropout,0,0.0,-6.0,1.0,0.0026074233586372,50,0.0174224078655242,0.1125643551349639,0.0,0.0,3
rule_based,sensor_dropout,0,0.0,-7.0,1.0,0.0006627258606077,50,0.0199041236191988,0.1243437230587005,0.0,0.0,4
rule_based_recovery,sensor_dropout,0,0.0,-7.0,1.0,0.0006627258606077,50,0.0199041236191988,0.1243437230587005,0.0,0.0,4
rule_based,sensor_dropout,0,0.0,-5.0,1.0,0.0007117741423123,50,0.0132906911894679,0.0810626521706581,0.0,0.0,5
rule_based_recovery,sensor_dropout,0,0.0,-5.0,1.0,0.0007117741423123,50,0.0132906911894679,0.0810626521706581,0.0,0.0,5
rule_based,sensor_dropout,0,0.0,-1.0,1.0,0.000844018672965,50,0.006416714284569,0.0386139191687107,0.0,0.0,6
rule_based_recovery,sensor_dropout,0,0.0,-1.0,1.0,0.000844018672965,50,0.006416714284569,0.0386139191687107,0.0,0.0,6
rule_based,sensor_dropout,0,0.0,-6.0,1.0,0.0007460570783511,50,0.0152536602690815,0.0930417627096176,0.0,0.0,7
rule_based_recovery,sensor_dropout,0,0.0,-6.0,1.0,0.0007460570783511,50,0.0152536602690815,0.0930417627096176,0.0,0.0,7
rule_based,sensor_dropout,0,0.0,-6.0,1.0,0.0008871866099006,50,0.0168031156063079,0.1004088222980499,0.0,0.0,8
rule_based_recovery,sensor_dropout,0,0.0,-6.0,1.0,0.0008871866099006,50,0.0168031156063079,0.1004088222980499,0.0,0.0,8
rule_based,sensor_dropout,0,0.0,-5.0,1.0,0.0006666816236696,50,0.0134607478976249,0.0829636976122856,0.0,0.0,9
rule_based_recovery,sensor_dropout,0,0.0,-5.0,1.0,0.0006666816236696,50,0.0134607478976249,0.0829636976122856,0.0,0.0,9
rule_based,sensor_bias,0,0.1,-6.0,1.0,0.0221413905476742,50,0.0148962773382663,0.1720694005489349,0.0,0.0,0
rule_based_recovery,sensor_bias,0,0.1,-6.0,1.0,0.0221413905476742,50,0.0148962773382663,0.1720694005489349,0.0,0.0,0
rule_based,sensor_bias,0,0.1,-6.0,1.0,0.0008745577086456,50,0.01763316988945,0.1044882982969284,0.0,0.0,1
rule_based_recovery,sensor_bias,0,0.1,-6.0,1.0,0.0008745577086456,50,0.01763316988945,0.1044882982969284,0.0,0.0,1
rule_based,sensor_bias,0,0.1,-5.0,1.0,0.0008531807570535,50,0.0134949255734682,0.0829356014728546,0.0,0.0,2
rule_based_recovery,sensor_bias,0,0.1,-5.0,1.0,0.0008531807570535,50,0.0134949255734682,0.0829356014728546,0.0,0.0,2
rule_based,sensor_bias,0,0.1,-6.0,1.0,0.0026074233586372,50,0.0174224078655242,0.1125643551349639,0.0,0.0,3
rule_based_recovery,sensor_bias,0,0.1,-6.0,1.0,0.0026074233586372,50,0.0174224078655242,0.1125643551349639,0.0,0.0,3
rule_based,sensor_bias,0,0.1,-7.0,1.0,0.0006627258606077,50,0.0199041236191988,0.1243437230587005,0.0,0.0,4
rule_based_recovery,sensor_bias,0,0.1,-7.0,1.0,0.0006627258606077,50,0.0199041236191988,0.1243437230587005,0.0,0.0,4
rule_based,sensor_bias,0,0.1,-5.0,1.0,0.0007117741423123,50,0.0132906911894679,0.0810626521706581,0.0,0.0,5
rule_based_recovery,sensor_bias,0,0.1,-5.0,1.0,0.0007117741423123,50,0.0132906911894679,0.0810626521706581,0.0,0.0,5
rule_based,sensor_bias,0,0.1,-1.0,1.0,0.000844018672965,50,0.006416714284569,0.0386139191687107,0.0,0.0,6
rule_based_recovery,sensor_bias,0,0.1,-1.0,1.0,0.000844018672965,50,0.006416714284569,0.0386139191687107,0.0,0.0,6
rule_based,sensor_bias,0,0.1,-6.0,1.0,0.0007460570783511,50,0.0152536602690815,0.0930417627096176,0.0,0.0,7
rule_based_recovery,sensor_bias,0,0.1,-6.0,1.0,0.0007460570783511,50,0.0152536602690815,0.0930417627096176,0.0,0.0,7
rule_based,sensor_bias,0,0.1,-6.0,1.0,0.0008871866099006,50,0.0168031156063079,0.1004088222980499,0.0,0.0,8
rule_based_recovery,sensor_bias,0,0.1,-6.0,1.0,0.0008871866099006,50,0.0168031156063079,0.1004088222980499,0.0,0.0,8
rule_based,sensor_bias,0,0.1,-5.0,1.0,0.0006666816236696,50,0.0134607478976249,0.0829636976122856,0.0,0.0,9
rule_based_recovery,sensor_bias,0,0.1,-5.0,1.0,0.0006666816236696,50,0.0134607478976249,0.0829636976122856,0.0,0.0,9
rule_based,goal_spoof_immediate,0,0.1,-36.0,1.0,0.0577119348451152,50,0.017063146457076,0.3473947644233703,0.0,0.0,0
rule_based_recovery,goal_spoof_immediate,0,0.1,-4.0,1.0,0.0292684841182752,50,0.0248071178793907,0.619072675704956,0.0,1.0,0
rule_based,goal_spoof_immediate,0,0.1,-50.0,0.0,0.0569688956908934,50,0.0170395467430353,0.4175454974174499,0.0,0.0,1
rule_based_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.087986872480136,50,0.0136335343122482,0.1157972887158393,0.0,0.0,1
rule_based,goal_spoof_immediate,0,0.1,-47.0,1.0,0.0777904893891062,50,0.0189173333346843,0.1148328185081482,0.0,0.0,2
rule_based_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.08448649051899,50,0.0146028799936175,0.0898087099194526,0.0,0.0,2
rule_based,goal_spoof_immediate,0,0.1,-50.0,0.0,0.1052042448582512,50,0.0178778208792209,0.1084235310554504,0.0,0.0,3
rule_based_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.1167238400527105,50,0.015498237684369,0.0936374589800834,0.0,0.0,3
rule_based,goal_spoof_immediate,0,0.1,-50.0,0.0,0.1055051956975999,50,0.0254654809832572,0.1969269216060638,0.0,0.0,4
rule_based_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.124512518761149,50,0.0143481204286217,0.088169164955616,0.0,0.0,4
rule_based,goal_spoof_immediate,0,0.1,-39.0,1.0,0.0574132579279082,50,0.0171989258378744,0.1046018376946449,0.0,0.0,5
rule_based_recovery,goal_spoof_immediate,0,0.1,-38.0,1.0,0.0542332932232657,50,0.015807457268238,0.0971065685153007,0.0,0.0,5
rule_based,goal_spoof_immediate,0,0.1,-43.0,1.0,0.0754217680168118,50,0.0121491635218262,0.0729966238141059,0.0,0.0,6
rule_based_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.0838900566587651,50,0.0051893480122089,0.0324044190347194,0.0,0.0,6
rule_based,goal_spoof_immediate,0,0.1,-50.0,0.0,0.0936404377869336,50,0.0147124640643596,0.0895471572875976,0.0,0.0,7
rule_based_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.13045791991268,50,0.0147157153114676,0.0909953862428665,0.0,0.0,7
