condition,episode_idx,step,distance_to_goal,recovery_triggered,action_norm
clean,0,0,0.2126081706012402,0,1.9290759563446045
clean,0,1,0.1609091010924429,0,1.8410416841506958
clean,0,2,0.10574627778157648,0,1.6937607526779175
clean,0,3,0.05667495050819672,1,0.2833748161792755
clean,0,4,0.0447015425610495,1,0.2235075831413269
clean,0,5,0.03778068659581877,1,0.1889035552740097
clean,0,6,0.03251609941828291,1,0.16258026659488678
clean,0,7,0.02824629367810835,1,0.14123135805130005
clean,0,8,0.02483501411436687,1,0.1241750568151474
clean,0,9,0.022116752854771164,1,0.11058354377746582
clean,0,10,0.019951743776372786,1,0.09975870698690414
clean,0,11,0.018226668280618027,1,0.09113304316997528
clean,0,12,0.016850998898950767,1,0.08425480872392654
clean,0,13,0.01575244836169689,1,0.07876186817884445
clean,0,14,0.014873170941978448,1,0.0743657574057579
clean,0,15,0.01416660312918747,1,0.0708327516913414
clean,0,16,0.013594974100154521,1,0.06797457486391068
clean,0,17,0.01312717446236512,1,0.06563567370176315
clean,0,18,0.012737007051967427,1,0.06368508189916611
clean,0,19,0.012401668211948979,1,0.06200799345970154
clean,0,20,0.012100469580664752,1,0.060502421110868454
clean,0,21,0.011813727707412269,1,0.05906875059008598
clean,0,22,0.011522190392695789,1,0.057610612362623215
clean,0,23,0.011207005139278803,1,0.05603494495153427
clean,0,24,0.010850594573222435,1,0.054252948611974716
clean,0,25,0.010438643009270127,1,0.052193183451890945
clean,0,26,0.010022575905859085,1,0.05011250078678131
clean,0,27,0.009577690563429487,1,0.047888558357954025
clean,0,28,0.009229093869382839,1,0.04614552855491638
clean,0,29,0.008867016901323379,1,0.04433482885360718
clean,0,30,0.008498824452841603,1,0.04249381646513939
clean,0,31,0.008112262411885719,1,0.040561430156230927
clean,0,32,0.0077043079572307206,1,0.03852164372801781
clean,0,33,0.00731346796568163,1,0.036567363888025284
clean,0,34,0.006911773394220573,1,0.03455876559019089
clean,0,35,0.006498366358666029,1,0.032491590827703476
clean,0,36,0.006076257689875114,1,0.030381273478269577
clean,0,37,0.00565026384659382,1,0.028251102194190025
clean,0,38,0.005224656005394385,1,0.026122985407710075
clean,0,39,0.0048050558637872205,1,0.024025432765483856
clean,0,40,0.004415970410133735,1,0.02207973599433899
clean,0,41,0.004042941943694678,1,0.020214863121509552
clean,0,42,0.003688223179741506,1,0.01844087615609169
clean,0,43,0.003353704747083194,1,0.016768449917435646
clean,0,44,0.0030405437969588966,1,0.015202393755316734
clean,0,45,0.0027494229039136805,1,0.013746996410191059
clean,0,46,0.002480629109570155,1,0.01240305881947279
clean,0,47,0.0022340232367165035,1,0.011169866658747196
clean,0,48,0.0020095278787037817,1,0.010047350078821182
clean,0,49,0.001806277160687344,1,0.009031526744365692
clean,1,0,0.07703805445128271,0,1.3968751430511475
clean,1,1,0.03939508185822132,1,0.1969756782054901
clean,1,2,0.030378411389965845,1,0.15189237892627716
clean,1,3,0.025548781443181824,1,0.12774387001991272
clean,1,4,0.02126242500140711,1,0.10631228238344193
clean,1,5,0.017715899809264923,1,0.08857960253953934
clean,1,6,0.014758450939480429,1,0.07379244267940521
clean,1,7,0.012294939469694463,1,0.06147480383515358
clean,1,8,0.010242957036429455,1,0.05121486261487007
clean,1,9,0.008534095681663674,1,0.04267057403922081
clean,1,10,0.007111416967850834,1,0.035557329654693604
clean,1,11,0.005927850978084455,1,0.029639406129717827
clean,1,12,0.004944408720240181,1,0.024722067639231682
clean,1,13,0.0041287485509975885,1,0.020643897354602814
clean,1,14,0.003454065916831739,1,0.0172705240547657
clean,1,15,0.002898252802864029,1,0.014491253532469273
clean,1,16,0.0024426482192410484,1,0.012213491834700108
clean,1,17,0.002071447770829243,1,0.010357236489653587
clean,1,18,0.0017714215401242795,1,0.008857321925461292
clean,1,19,0.0015313932176387896,1,0.007656973786652088
clean,1,20,0.0013418257491991793,1,0.006709317676723003
clean,1,21,0.001194403312600378,1,0.005972068756818771
clean,1,22,0.0010817716845249897,1,0.005408917088061571
clean,1,23,0.0009973385185010747,1,0.004986798856407404
clean,1,24,0.0009352424588836775,1,0.004676181823015213
clean,1,25,0.0008904066661851948,1,0.004452065099030733
clean,1,26,0.0008585575692252718,1,0.004292731173336506
clean,1,27,0.0008362573205326327,1,0.004181241616606712
clean,1,28,0.0008208284326152653,1,0.004104004241526127
clean,1,29,0.00081026573108282,1,0.0040512545965611935
clean,1,30,0.0008031052492179135,1,0.0040154592134058475
clean,1,31,0.000798273371652606,1,0.0039913407526910305
clean,1,32,0.000795053418561439,1,0.003975018858909607
clean,1,33,0.0007929390235743236,1,0.003964642528444529
clean,1,34,0.000791563162650236,1,0.003957727923989296
clean,1,35,0.0007906931912956295,1,0.003953251987695694
clean,1,36,0.0007901773254368869,1,0.003950648475438356
clean,1,37,0.0007898773840070845,1,0.003949383739382029
clean,1,38,0.0007897402288113146,1,0.003948501776903868
clean,1,39,0.0007897138820655884,1,0.003948504570871592
clean,1,40,0.0007897703213393359,1,0.0039487178437411785
clean,1,41,0.0007898853931924067,1,0.003949413541704416
clean,1,42,0.0007900351921977179,1,0.003949879668653011
clean,1,43,0.0007902411167736538,1,0.003951013553887606
clean,1,44,0.0007904750411099589,1,0.003952292259782553
clean,1,45,0.0007907259786463059,1,0.003953547216951847
clean,1,46,0.000790996678999408,1,0.003954755142331123
clean,1,47,0.0007912908439384104,1,0.003956194501370192
clean,1,48,0.0007916062089703849,1,0.003957940731197596
clean,1,49,0.0007919302561671795,1,0.003959605935961008
clean,2,0,0.21970261797146862,0,1.9437047243118286
clean,2,1,0.1680985492176846,0,1.8656132221221924
clean,2,2,0.11330417133094724,0,1.6674402952194214
clean,2,3,0.0639390269867108,1,0.31969544291496277
clean,2,4,0.050620939443619034,1,0.2531048357486725
clean,2,5,0.0425316292214621,1,0.2126581221818924
clean,2,6,0.039870150305207366,1,0.1993509978055954
clean,2,7,0.039393952341873664,1,0.1969698667526245
clean,2,8,0.038851909411745544,1,0.1942598670721054
clean,2,9,0.03834361336520771,1,0.19171835482120514
clean,2,10,0.037883332949456595,1,0.18941688537597656
clean,2,11,0.037470177925698955,1,0.18735110759735107
clean,2,12,0.037099119467239726,1,0.18549564480781555
clean,2,13,0.036764594939504694,1,0.18382301926612854
clean,2,14,0.03646162467712518,1,0.1823081225156784
clean,2,15,0.03618694087410243,1,0.180934876203537
clean,2,16,0.03593804336317103,1,0.17969036102294922
clean,2,17,0.035712671558540805,1,0.17856340110301971
clean,2,18,0.035508461070435156,1,0.17754249274730682
clean,2,19,0.0353229654122942,1,0.17661496996879578
clean,2,20,0.035153889854532126,1,0.17576955258846283
clean,2,21,0.03499947147417262,1,0.17499752342700958
clean,2,22,0.03485838232966483,1,0.17429205775260925
clean,2,23,0.034729487190359815,1,0.1736474484205246
clean,2,24,0.03461175861143327,1,0.17305885255336761
clean,2,25,0.03450425223298327,1,0.17252138257026672
clean,2,26,0.03440610154574014,1,0.17203058302402496
clean,2,27,0.03431651036047876,1,0.1715826392173767
clean,2,28,0.03423474681072606,1,0.17117376625537872
clean,2,29,0.03416013889828271,1,0.1708008497953415
clean,2,30,0.034092069428816235,1,0.17046044766902924
clean,2,31,0.03402997404496678,1,0.1701500117778778
clean,2,32,0.033973334718917426,1,0.169866681098938
clean,2,33,0.033921678097072534,1,0.16960853338241577
clean,2,34,0.03387456878723784,1,0.1693728268146515
clean,2,35,0.033831611272867664,1,0.16915816068649292
clean,2,36,0.03379244101513145,1,0.16896222531795502
clean,2,37,0.03375672690151082,1,0.16878369450569153
clean,2,38,0.03372416525484202,1,0.16862086951732635
clean,2,39,0.03369447957043677,1,0.16847246885299683
clean,2,40,0.0336674166209794,1,0.16833707690238953
clean,2,41,0.033642745370323024,1,0.16821372509002686
clean,2,42,0.03362025473146189,1,0.16810134053230286
clean,2,43,0.03359975197465892,1,0.16799885034561157
clean,2,44,0.03358106181308922,1,0.16790525615215302
clean,2,45,0.03356402462127276,1,0.16782011091709137
clean,2,46,0.033548493349972695,1,0.16774249076843262
clean,2,47,0.033534334906233705,1,0.16767171025276184
clean,2,48,0.03352142799197655,1,0.16760720312595367
clean,2,49,0.03350966168282766,1,0.16754840314388275
clean,3,0,0.18926669847066732,0,1.9322922229766846
clean,3,1,0.1390780281996905,0,1.7902467250823975
clean,3,2,0.08887010473028135,1,0.44435033202171326
clean,3,3,0.07205802586661103,1,0.36028993129730225
clean,3,4,0.060405658297138065,1,0.3020283579826355
clean,3,5,0.05045520265450744,1,0.25227591395378113
clean,3,6,0.04217715183713989,1,0.21088573336601257
clean,3,7,0.035269147532120404,1,0.17634564638137817
clean,3,8,0.02950527385891144,1,0.14752617478370667
clean,3,9,0.024694555941064802,1,0.1234729215502739
clean,3,10,0.020678082818197982,0,0.5230804681777954
clean,3,11,0.014067123275079453,0,0.20320655405521393
clean,3,12,0.01517312002102773,0,0.18189138174057007
clean,3,13,0.0149666709798549,0,0.17557476460933685
clean,3,14,0.015084014018454632,0,0.17756757140159607
clean,3,15,0.015046408992469229,0,0.17659646272659302
clean,3,16,0.015092125872814891,0,0.17695288360118866
clean,3,17,0.01509238024920516,0,0.17660512030124664
clean,3,18,0.015086971836744135,0,0.1766015589237213
clean,3,19,0.015066813215369278,0,0.17654617130756378
clean,3,20,0.015048041477247375,0,0.176583394408226
clean,3,21,0.015032831344289802,0,0.17661519348621368
clean,3,22,0.015023183060386648,0,0.1766432225704193
clean,3,23,0.015017175849112444,0,0.17665930092334747
clean,3,24,0.01501347189488719,0,0.1766688972711563
clean,3,25,0.015011220037146635,0,0.17667566239833832
clean,3,26,0.015009959377191094,0,0.17667901515960693
clean,3,27,0.01500912476009368,0,0.17668135464191437
clean,3,28,0.015008645160788427,0,0.17668236792087555
clean,3,29,0.01500829831808537,0,0.17668300867080688
clean,3,30,0.01500815191651822,0,0.17668382823467255
clean,3,31,0.01500806696347665,0,0.17668424546718597
clean,3,32,0.01500801632706657,0,0.17668461799621582
clean,3,33,0.015008015378049463,0,0.17668430507183075
clean,3,34,0.015008032704342285,0,0.17668427526950836
clean,3,35,0.015008060237948637,0,0.17668437957763672
clean,3,36,0.015008125150739147,0,0.1766841858625412
clean,3,37,0.01500816400122417,1,0.07504073530435562
clean,3,38,0.012785974958482216,0,0.18460401892662048
clean,3,39,0.014978639775050423,0,0.18650323152542114
clean,3,40,0.014808304572304785,0,0.1746606081724167
clean,3,41,0.01503314829185291,0,0.17788712680339813
clean,3,42,0.014982866958789016,0,0.17630648612976074
clean,3,43,0.015015749125712324,0,0.1768270879983902
clean,3,44,0.015005998152567097,0,0.17661111056804657
clean,3,45,0.015010217484980236,0,0.17669659852981567
clean,3,46,0.015008535340382113,0,0.1766689121723175
clean,3,47,0.015009026507211318,0,0.17668233811855316
clean,3,48,0.015008809766802531,0,0.17667950689792633
clean,3,49,0.01500889928989296,0,0.17668256163597107
clean,4,0,0.14660650620344126,0,1.7418031692504883
clean,4,1,0.10343916648567113,1,0.5171955823898315
clean,4,2,0.08401625271627149,1,0.42008113861083984
clean,4,3,0.07021524958320942,1,0.35107624530792236
clean,4,4,0.05848713904080839,1,0.29243555665016174
clean,4,5,0.048739870588888734,1,0.2436991035938263
clean,4,6,0.040615883686764845,1,0.20307928323745728
clean,4,7,0.03384606926724851,1,0.16923026740550995
clean,4,8,0.02820405342169566,1,0.1410200297832489
clean,4,9,0.023501753007953523,1,0.1175086721777916
clean,4,10,0.0195825586084021,1,0.09791269898414612
clean,4,11,0.01631605880099643,1,0.0815802589058876
clean,4,12,0.013593642923877937,1,0.06796824187040329
clean,4,13,0.011324785957783913,1,0.056623589247465134
clean,4,14,0.009434089166639925,1,0.04717044159770012
clean,4,15,0.00785869184396005,1,0.0392933115363121
clean,4,16,0.006546283645430228,1,0.03273104131221771
