method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered,episode_idx
random,clean,0,0.0,0,-1.0,0.17054828838610125,0.0,1.5992745161056519,1.5992745161056519,1.0,0.0,0
random,clean,0,0.0,1,-1.0,0.153856589949855,0.0,0.7650271058082581,0.7650271058082581,0.0,0.0,0
random,clean,0,0.0,2,-1.0,0.16862258858108406,0.0,1.2422188520431519,1.2422188520431519,0.0,0.0,0
random,clean,0,0.0,3,-1.0,0.17681559661563562,0.0,1.3292287588119507,1.3292287588119507,0.0,0.0,0
random,clean,0,0.0,4,-1.0,0.19992475264727788,0.0,1.234626293182373,1.234626293182373,0.0,0.0,0
random,clean,0,0.0,5,-1.0,0.1908851618293602,0.0,0.6219302415847778,0.6219302415847778,0.0,0.0,0
random,clean,0,0.0,6,-1.0,0.2209003637398848,0.0,1.6858502626419067,1.6858502626419067,1.0,0.0,0
random,clean,0,0.0,7,-1.0,0.22736972364014055,0.0,0.407554030418396,0.407554030418396,0.0,0.0,0
random,clean,0,0.0,8,-1.0,0.21686367444843302,0.0,0.9449781179428101,0.9449781179428101,0.0,0.0,0
random,clean,0,0.0,9,-1.0,0.23261795681366143,0.0,0.8486925959587097,0.8486925959587097,0.0,0.0,0
random,clean,0,0.0,10,-1.0,0.2358443325760428,0.0,1.0773138999938965,1.0773138999938965,0.0,0.0,0
random,clean,0,0.0,11,-1.0,0.22381755562400202,0.0,1.263522744178772,1.263522744178772,0.0,0.0,0
random,clean,0,0.0,12,-1.0,0.19593225258576677,0.0,1.5324549674987793,1.5324549674987793,1.0,0.0,0
random,clean,0,0.0,13,-1.0,0.1741870150989107,0.0,1.3477758169174194,1.3477758169174194,0.0,0.0,0
random,clean,0,0.0,14,-1.0,0.18393004124959114,0.0,1.4108903408050537,1.4108903408050537,0.0,0.0,0
random,clean,0,0.0,15,-1.0,0.20494953511569683,0.0,1.1745655536651611,1.1745655536651611,0.0,0.0,0
random,clean,0,0.0,16,-1.0,0.2315654625840935,0.0,1.2211955785751343,1.2211955785751343,0.0,0.0,0
random,clean,0,0.0,17,-1.0,0.23954705547784236,0.0,0.787789523601532,0.787789523601532,0.0,0.0,0
random,clean,0,0.0,18,-1.0,0.22680359415443926,0.0,1.4799830913543701,1.4799830913543701,0.0,0.0,0
random,clean,0,0.0,19,-1.0,0.20151375796548732,0.0,1.4869740009307861,1.4869740009307861,0.0,0.0,0
random,clean,0,0.0,20,-1.0,0.20273362817967253,0.0,0.5995016694068909,0.5995016694068909,0.0,0.0,0
random,clean,0,0.0,21,-1.0,0.22831153365883328,0.0,1.3641693592071533,1.3641693592071533,0.0,0.0,0
random,clean,0,0.0,22,-1.0,0.25740082975775513,0.0,1.4163861274719238,1.4163861274719238,0.0,0.0,0
random,clean,0,0.0,23,-1.0,0.2435988201460736,0.0,1.422494888305664,1.422494888305664,0.0,0.0,0
random,clean,0,0.0,24,-1.0,0.24640859300742088,0.0,0.7682352662086487,0.7682352662086487,0.0,0.0,0
random,clean,0,0.0,25,-1.0,0.2500795528437379,0.0,0.9811152219772339,0.9811152219772339,0.0,0.0,0
random,clean,0,0.0,26,-1.0,0.26045683261266644,0.0,0.8578221201896667,0.8578221201896667,0.0,0.0,0
random,clean,0,0.0,27,-1.0,0.2416988624527932,0.0,1.0644410848617554,1.0644410848617554,0.0,0.0,0
random,clean,0,0.0,28,-1.0,0.2258521081985709,0.0,1.1250596046447754,1.1250596046447754,0.0,0.0,0
random,clean,0,0.0,29,-1.0,0.2118936176983379,0.0,1.2002824544906616,1.2002824544906616,0.0,0.0,0
random,clean,0,0.0,30,-1.0,0.23901848615849594,0.0,1.2436069250106812,1.2436069250106812,0.0,0.0,0
random,clean,0,0.0,31,-1.0,0.2480159432858647,0.0,1.4866000413894653,1.4866000413894653,0.0,0.0,0
random,clean,0,0.0,32,-1.0,0.23448217153304096,0.0,1.200166940689087,1.200166940689087,0.0,0.0,0
random,clean,0,0.0,33,-1.0,0.22851067257507762,0.0,1.0289340019226074,1.0289340019226074,0.0,0.0,0
random,clean,0,0.0,34,-1.0,0.222245137445971,0.0,1.1678701639175415,1.1678701639175415,0.0,0.0,0
random,clean,0,0.0,35,-1.0,0.18855064862870094,0.0,1.2117615938186646,1.2117615938186646,0.0,0.0,0
