method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered,episode_idx
random,action_delay,0,0.0,49,-1.0,0.15326543860079836,0.0,0.0,1.1669833660125732,0.0,0.0,0
random_recovery,action_delay,0,0.0,0,-1.0,0.15929485682356848,0.0,0.0,1.2099266052246094,0.0,0.0,0
random_recovery,action_delay,0,0.0,1,-1.0,0.15914150585048709,0.0,0.0,0.5357961058616638,0.0,0.0,0
random_recovery,action_delay,0,0.0,2,-1.0,0.15899967629202025,0.0,0.0,1.1211262941360474,0.0,0.0,0
random_recovery,action_delay,0,0.0,3,-1.0,0.15886416680054155,0.0,0.0,1.5020902156829834,0.0,0.0,0
random_recovery,action_delay,0,0.0,4,-1.0,0.15873340775767536,0.0,0.0,1.2802612781524658,0.0,0.0,0
random_recovery,action_delay,0,0.0,5,-1.0,0.15860593436304138,0.0,0.0,0.9590753316879272,0.0,0.0,0
random_recovery,action_delay,0,0.0,6,-1.0,0.15848074626217618,0.0,0.0,1.1719481945037842,0.0,0.0,0
random_recovery,action_delay,0,0.0,7,-1.0,0.1583571424384308,0.0,0.0,0.8735795021057129,0.0,0.0,0
random_recovery,action_delay,0,0.0,8,-1.0,0.15823463754113745,0.0,0.0,1.5708693265914917,0.0,0.0,0
random_recovery,action_delay,0,0.0,9,-1.0,0.15811289399743522,0.0,0.0,1.4385279417037964,0.0,0.0,0
random_recovery,action_delay,0,0.0,10,-1.0,0.15799167547834436,0.0,0.0,1.2676292657852173,0.0,0.0,0
random_recovery,action_delay,0,0.0,11,-1.0,0.1578708151552327,0.0,0.0,1.2312819957733154,0.0,0.0,0
random_recovery,action_delay,0,0.0,12,-1.0,0.1577501942558465,0.0,0.0,0.8688929677009583,0.0,0.0,0
random_recovery,action_delay,0,0.0,13,-1.0,0.15762972760291444,0.0,0.0,1.2235169410705566,0.0,0.0,0
random_recovery,action_delay,0,0.0,14,-1.0,0.1575093536585811,0.0,0.0,1.2181185483932495,0.0,0.0,0
random_recovery,action_delay,0,0.0,15,-1.0,0.15738902773179633,0.0,0.0,1.0402400493621826,0.0,0.0,0
random_recovery,action_delay,0,0.0,16,-1.0,0.15726871722507726,0.0,0.0,1.2369588613510132,0.0,0.0,0
random_recovery,action_delay,0,0.0,17,-1.0,0.15714839828886665,0.0,0.0,1.3676074743270874,0.0,0.0,0
random_recovery,action_delay,0,0.0,18,-1.0,0.1570280534438426,0.0,0.0,1.2702038288116455,0.0,0.0,0
random_recovery,action_delay,0,0.0,19,-1.0,0.15690766987086857,0.0,0.0,1.4281840324401855,0.0,0.0,0
random_recovery,action_delay,0,0.0,20,-1.0,0.15678723817877294,0.0,0.0,0.8173354268074036,0.0,0.0,0
random_recovery,action_delay,0,0.0,21,-1.0,0.1566667515030516,0.0,0.0,1.4095516204833984,0.0,0.0,0
random_recovery,action_delay,0,0.0,22,-1.0,0.156546204848325,0.0,0.0,0.6583442091941833,0.0,0.0,0
random_recovery,action_delay,0,0.0,23,-1.0,0.15642559460492178,0.0,0.0,0.9792318344116211,0.0,0.0,0
random_recovery,action_delay,0,0.0,24,-1.0,0.15630491819268041,0.0,0.0,1.4254612922668457,0.0,0.0,0
random_recovery,action_delay,0,0.0,25,-1.0,0.15618417379532087,0.0,0.0,0.9428402781486511,0.0,0.0,0
random_recovery,action_delay,0,0.0,26,-1.0,0.1560633601658391,0.0,0.0,1.2157279253005981,0.0,0.0,0
random_recovery,action_delay,0,0.0,27,-1.0,0.15594247648182494,0.0,0.0,1.3399921655654907,0.0,0.0,0
random_recovery,action_delay,0,0.0,28,-1.0,0.1558215222356989,0.0,0.0,0.7931709289550781,0.0,0.0,0
random_recovery,action_delay,0,0.0,29,-1.0,0.15570049715595566,0.0,0.0,1.431213140487671,0.0,0.0,0
random_recovery,action_delay,0,0.0,30,-1.0,0.15557940114594418,0.0,0.0,1.5229235887527466,0.0,0.0,0
random_recovery,action_delay,0,0.0,31,-1.0,0.15545823424032088,0.0,0.0,0.9500596523284912,0.0,0.0,0
random_recovery,action_delay,0,0.0,32,-1.0,0.15533699657036254,0.0,0.0,1.2307703495025635,0.0,0.0,0
random_recovery,action_delay,0,0.0,33,-1.0,0.15521568834040628,0.0,0.0,1.0847424268722534,0.0,0.0,0
random_recovery,action_delay,0,0.0,34,-1.0,0.1550943098089147,0.0,0.0,1.603051781654358,0.0,0.0,0
random_recovery,action_delay,0,0.0,35,-1.0,0.15497286127438314,0.0,0.0,1.18678879737854,0.0,0.0,0
random_recovery,action_delay,0,0.0,36,-1.0,0.1548513430641485,0.0,0.0,1.165615439414978,0.0,0.0,0
random_recovery,action_delay,0,0.0,37,-1.0,0.15472975552915544,0.0,0.0,1.0217317342758179,0.0,0.0,0
random_recovery,action_delay,0,0.0,38,-1.0,0.1546080990355447,0.0,0.0,0.903550922870636,0.0,0.0,0
random_recovery,action_delay,0,0.0,39,-1.0,0.15448637396208373,0.0,0.0,0.688195526599884,0.0,0.0,0
random_recovery,action_delay,0,0.0,40,-1.0,0.15436458069567974,0.0,0.0,0.9055427312850952,0.0,0.0,0
random_recovery,action_delay,0,0.0,41,-1.0,0.15424271963038932,0.0,0.0,1.1013810634613037,0.0,0.0,0
random_recovery,action_delay,0,0.0,42,-1.0,0.15412079116412916,0.0,0.0,0.7693328857421875,0.0,0.0,0
random_recovery,action_delay,0,0.0,43,-1.0,0.15399879569827735,0.0,0.0,0.9741318225860596,0.0,0.0,0
random_recovery,action_delay,0,0.0,44,-1.0,0.15387673363681328,0.0,0.0,1.0054410696029663,0.0,0.0,0
random_recovery,action_delay,0,0.0,45,-1.0,0.15375460538465988,0.0,0.0,1.4284957647323608,0.0,0.0,0
random_recovery,action_delay,0,0.0,46,-1.0,0.1536324113483516,0.0,0.0,1.161773920059204,0.0,0.0,0
random_recovery,action_delay,0,0.0,47,-1.0,0.1535101519342999,0.0,0.0,0.9116752743721008,0.0,0.0,0
random_recovery,action_delay,0,0.0,48,-1.0,0.15338782754975205,0.0,0.0,0.5489811897277832,0.0,0.0,0
random_recovery,action_delay,0,0.0,49,-1.0,0.15326543860079836,0.0,0.0,1.2255032062530518,0.0,0.0,0
random,action_delay,0,0.0,0,-1.0,0.17215055448403124,0.0,0.0,1.027501106262207,0.0,0.0,1
random,action_delay,0,0.0,1,-1.0,0.17204366329433177,0.0,0.0,1.1895778179168701,0.0,0.0,1
random,action_delay,0,0.0,2,-1.0,0.1719449708782339,0.0,0.0,1.3385570049285889,0.0,0.0,1
random,action_delay,0,0.0,3,-1.0,0.17185080648021095,0.0,0.0,1.228415846824646,0.0,0.0,1
random,action_delay,0,0.0,4,-1.0,0.1717600120870173,0.0,0.0,1.4115915298461914,0.0,0.0,1
random,action_delay,0,0.0,5,-1.0,0.17167153821187744,0.0,0.0,1.3938608169555664,0.0,0.0,1
random,action_delay,0,0.0,6,-1.0,0.17158467579912443,0.0,0.0,1.042475938796997,0.0,0.0,1
random,action_delay,0,0.0,7,-1.0,0.17149893443863037,0.0,0.0,0.7309089303016663,0.0,0.0,1
random,action_delay,0,0.0,8,-1.0,0.17141397882925474,0.0,0.0,0.945941150188446,0.0,0.0,1
random,action_delay,0,0.0,9,-1.0,0.17132957856026426,0.0,0.0,0.8960201144218445,0.0,0.0,1
random,action_delay,0,0.0,10,-1.0,0.17124557413048444,0.0,0.0,1.3463716506958008,0.0,0.0,1
random,action_delay,0,0.0,11,-1.0,0.17116185409509652,0.0,0.0,0.844636082649231,0.0,0.0,1
random,action_delay,0,0.0,12,-1.0,0.17107833987566853,0.0,0.0,0.8738679885864258,0.0,0.0,1
random,action_delay,0,0.0,13,-1.0,0.17099497550759052,0.0,0.0,1.1635854244232178,0.0,0.0,1
random,action_delay,0,0.0,14,-1.0,0.17091172090260373,0.0,0.0,0.8385811448097229,0.0,0.0,1
random,action_delay,0,0.0,15,-1.0,0.17082854714262788,0.0,0.0,1.4330641031265259,0.0,0.0,1
random,action_delay,0,0.0,16,-1.0,0.17074543327598213,0.0,0.0,1.0594629049301147,0.0,0.0,1
random,action_delay,0,0.0,17,-1.0,0.1706623640806039,0.0,0.0,1.131584882736206,0.0,0.0,1
random,action_delay,0,0.0,18,-1.0,0.1705793284825694,0.0,0.0,1.0936156511306763,0.0,0.0,1
random,action_delay,0,0.0,19,-1.0,0.17049631843553772,0.0,0.0,1.4268766641616821,0.0,0.0,1
random,action_delay,0,0.0,20,-1.0,0.17041332810673515,0.0,0.0,1.2472105026245117,0.0,0.0,1
random,action_delay,0,0.0,21,-1.0,0.17033035329493526,0.0,0.0,0.7405534982681274,0.0,0.0,1
random,action_delay,0,0.0,22,-1.0,0.17024739100237055,0.0,0.0,0.9359017014503479,0.0,0.0,1
random,action_delay,0,0.0,23,-1.0,0.17016443912117338,0.0,0.0,1.2893837690353394,0.0,0.0,1
random,action_delay,0,0.0,24,-1.0,0.17008149620197308,0.0,0.0,1.2802162170410156,0.0,0.0,1
random,action_delay,0,0.0,25,-1.0,0.16999856128695418,0.0,0.0,1.1482197046279907,0.0,0.0,1
random,action_delay,0,0.0,26,-1.0,0.16991563378214372,0.0,0.0,1.0940872430801392,0.0,0.0,1
random,action_delay,0,0.0,27,-1.0,0.16983271336299097,0.0,0.0,1.0874643325805664,0.0,0.0,1
random,action_delay,0,0.0,28,-1.0,0.1697497999081848,0.0,0.0,1.1478784084320068,0.0,0.0,1
random,action_delay,0,0.0,29,-1.0,0.16966689344509917,0.0,0.0,0.5616174340248108,0.0,0.0,1
random,action_delay,0,0.0,30,-1.0,0.1695839941137822,0.0,0.0,0.9539849758148193,0.0,0.0,1
random,action_delay,0,0.0,31,-1.0,0.16950110213637096,0.0,0.0,1.129151701927185,0.0,0.0,1
random,action_delay,0,0.0,32,-1.0,0.16941821779826338,0.0,0.0,1.1728713512420654,0.0,0.0,1
random,action_delay,0,0.0,33,-1.0,0.16933534142991286,0.0,0.0,1.1914372444152832,0.0,0.0,1
random,action_delay,0,0.0,34,-1.0,0.1692524733956758,0.0,0.0,1.2298940420150757,0.0,0.0,1
random,action_delay,0,0.0,35,-1.0,0.16916961408541906,0.0,0.0,0.9094443917274475,0.0,0.0,1
random,action_delay,0,0.0,36,-1.0,0.1690867639094684,0.0,0.0,1.238142490386963,0.0,0.0,1
random,action_delay,0,0.0,37,-1.0,0.16900392328920985,0.0,0.0,0.8720706105232239,0.0,0.0,1
random,action_delay,0,0.0,38,-1.0,0.16892109265819108,0.0,0.0,0.8948465585708618,0.0,0.0,1
random,action_delay,0,0.0,39,-1.0,0.16883827245625832,0.0,0.0,0.8291485905647278,0.0,0.0,1
random,action_delay,0,0.0,40,-1.0,0.16875546312980735,0.0,0.0,0.5294541120529175,0.0,0.0,1
random,action_delay,0,0.0,41,-1.0,0.1686726651277197,0.0,0.0,1.206068992614746,0.0,0.0,1
random,action_delay,0,0.0,42,-1.0,0.16858987890292396,0.0,0.0,1.205727219581604,0.0,0.0,1
random,action_delay,0,0.0,43,-1.0,0.16850710490985807,0.0,0.0,1.4042216539382935,0.0,0.0,1
random,action_delay,0,0.0,44,-1.0,0.16842434360359257,0.0,0.0,0.6908396482467651,0.0,0.0,1
random,action_delay,0,0.0,45,-1.0,0.1683415954409978,0.0,0.0,1.1010212898254395,0.0,0.0,1
random,action_delay,0,0.0,46,-1.0,0.16825886087820194,0.0,0.0,0.8298593163490295,0.0,0.0,1
random,action_delay,0,0.0,47,-1.0,0.16817614037269907,0.0,0.0,1.2618589401245117,0.0,0.0,1
random,action_delay,0,0.0,48,-1.0,0.16809343438088648,0.0,0.0,1.5681148767471313,0.0,0.0,1
random,action_delay,0,0.0,49,-1.0,0.16801074336107993,0.0,0.0,1.1430773735046387,0.0,0.0,1
random_recovery,action_delay,0,0.0,0,-1.0,0.17215055448403124,0.0,0.0,0.8469980359077454,0.0,0.0,1
random_recovery,action_delay,0,0.0,1,-1.0,0.17204366329433177,0.0,0.0,0.9324114322662354,0.0,0.0,1
random_recovery,action_delay,0,0.0,2,-1.0,0.1719449708782339,0.0,0.0,1.2642189264297485,0.0,0.0,1
random_recovery,action_delay,0,0.0,3,-1.0,0.17185080648021095,0.0,0.0,1.4524931907653809,0.0,0.0,1
random_recovery,action_delay,0,0.0,4,-1.0,0.1717600120870173,0.0,0.0,1.4657435417175293,0.0,0.0,1
random_recovery,action_delay,0,0.0,5,-1.0,0.17167153821187744,0.0,0.0,1.3607903718948364,0.0,0.0,1
random_recovery,action_delay,0,0.0,6,-1.0,0.17158467579912443,0.0,0.0,1.3809620141983032,0.0,0.0,1
random_recovery,action_delay,0,0.0,7,-1.0,0.17149893443863037,0.0,0.0,0.8738999366760254,0.0,0.0,1
random_recovery,action_delay,0,0.0,8,-1.0,0.17141397882925474,0.0,0.0,1.083137035369873,0.0,0.0,1
random_recovery,action_delay,0,0.0,9,-1.0,0.17132957856026426,0.0,0.0,1.418079137802124,0.0,0.0,1
random_recovery,action_delay,0,0.0,10,-1.0,0.17124557413048444,0.0,0.0,1.3930350542068481,0.0,0.0,1
random_recovery,action_delay,0,0.0,11,-1.0,0.17116185409509652,0.0,0.0,1.5552220344543457,0.0,0.0,1
random_recovery,action_delay,0,0.0,12,-1.0,0.17107833987566853,0.0,0.0,1.083604097366333,0.0,0.0,1
random_recovery,action_delay,0,0.0,13,-1.0,0.17099497550759052,0.0,0.0,1.279771327972412,0.0,0.0,1
random_recovery,action_delay,0,0.0,14,-1.0,0.17091172090260373,0.0,0.0,1.2676082849502563,0.0,0.0,1
random_recovery,action_delay,0,0.0,15,-1.0,0.17082854714262788,0.0,0.0,1.1357812881469727,0.0,0.0,1
random_recovery,action_delay,0,0.0,16,-1.0,0.17074543327598213,0.0,0.0,1.3454631567001343,0.0,0.0,1
random_recovery,action_delay,0,0.0,17,-1.0,0.1706623640806039,0.0,0.0,1.0706912279129028,0.0,0.0,1
random_recovery,action_delay,0,0.0,18,-1.0,0.1705793284825694,0.0,0.0,1.1607834100723267,0.0,0.0,1
random_recovery,action_delay,0,0.0,19,-1.0,0.17049631843553772,0.0,0.0,0.8919243812561035,0.0,0.0,1
random_recovery,action_delay,0,0.0,20,-1.0,0.17041332810673515,0.0,0.0,1.2473310232162476,0.0,0.0,1
random_recovery,action_delay,0,0.0,21,-1.0,0.17033035329493526,0.0,0.0,1.0178287029266357,0.0,0.0,1
random_recovery,action_delay,0,0.0,22,-1.0,0.17024739100237055,0.0,0.0,0.9546319246292114,0.0,0.0,1
random_recovery,action_delay,0,0.0,23,-1.0,0.17016443912117338,0.0,0.0,0.5342608094215393,0.0,0.0,1
random_recovery,action_delay,0,0.0,24,-1.0,0.17008149620197308,0.0,0.0,1.2537791728973389,0.0,0.0,1
random_recovery,action_delay,0,0.0,25,-1.0,0.16999856128695418,0.0,0.0,1.392114520072937,0.0,0.0,1
random_recovery,action_delay,0,0.0,26,-1.0,0.16991563378214372,0.0,0.0,0.5695189237594604,0.0,0.0,1
random_recovery,action_delay,0,0.0,27,-1.0,0.16983271336299097,0.0,0.0,1.2137564420700073,0.0,0.0,1
random_recovery,action_delay,0,0.0,28,-1.0,0.1697497999081848,0.0,0.0,1.1043249368667603,0.0,0.0,1
random_recovery,action_delay,0,0.0,29,-1.0,0.16966689344509917,0.0,0.0,0.8665154576301575,0.0,0.0,1
random_recovery,action_delay,0,0.0,30,-1.0,0.1695839941137822,0.0,0.0,1.2834539413452148,0.0,0.0,1
random_recovery,action_delay,0,0.0,31,-1.0,0.16950110213637096,0.0,0.0,0.7552140355110168,0.0,0.0,1
random_recovery,action_delay,0,0.0,32,-1.0,0.16941821779826338,0.0,0.0,1.22258722782135,0.0,0.0,1
random_recovery,action_delay,0,0.0,33,-1.0,0.16933534142991286,0.0,0.0,1.2757716178894043,0.0,0.0,1
random_recovery,action_delay,0,0.0,34,-1.0,0.1692524733956758,0.0,0.0,0.8713827133178711,0.0,0.0,1
random_recovery,action_delay,0,0.0,35,-1.0,0.16916961408541906,0.0,0.0,0.9896407127380371,0.0,0.0,1
random_recovery,action_delay,0,0.0,36,-1.0,0.1690867639094684,0.0,0.0,1.5099396705627441,0.0,0.0,1
random_recovery,action_delay,0,0.0,37,-1.0,0.16900392328920985,0.0,0.0,1.2711158990859985,0.0,0.0,1
random_recovery,action_delay,0,0.0,38,-1.0,0.16892109265819108,0.0,0.0,1.0900537967681885,0.0,0.0,1
random_recovery,action_delay,0,0.0,39,-1.0,0.16883827245625832,0.0,0.0,1.3598504066467285,0.0,0.0,1
random_recovery,action_delay,0,0.0,40,-1.0,0.16875546312980735,0.0,0.0,1.0852417945861816,0.0,0.0,1
random_recovery,action_delay,0,0.0,41,-1.0,0.1686726651277197,0.0,0.0,0.3652058243751526,0.0,0.0,1
random_recovery,action_delay,0,0.0,42,-1.0,0.16858987890292396,0.0,0.0,0.8935707211494446,0.0,0.0,1
random_recovery,action_delay,0,0.0,43,-1.0,0.16850710490985807,0.0,0.0,0.5981518626213074,0.0,0.0,1
random_recovery,action_delay,0,0.0,44,-1.0,0.16842434360359257,0.0,0.0,1.480476975440979,0.0,0.0,1
random_recovery,action_delay,0,0.0,45,-1.0,0.1683415954409978,0.0,0.0,1.192730188369751,0.0,0.0,1
random_recovery,action_delay,0,0.0,46,-1.0,0.16825886087820194,0.0,0.0,1.1818819046020508,0.0,0.0,1
random_recovery,action_delay,0,0.0,47,-1.0,0.16817614037269907,0.0,0.0,1.2643442153930664,0.0,0.0,1
random_recovery,action_delay,0,0.0,48,-1.0,0.16809343438088648,0.0,0.0,1.0897918939590454,0.0,0.0,1
random_recovery,action_delay,0,0.0,49,-1.0,0.16801074336107993,0.0,0.0,1.152740240097046,0.0,0.0,1
random,action_delay,0,0.0,0,-1.0,0.13300062851193667,0.0,0.0,1.241775393486023,0.0,0.0,2
random,action_delay,0,0.0,1,-1.0,0.13313399384375216,0.0,0.0,1.393962025642395,0.0,0.0,2
random,action_delay,0,0.0,2,-1.0,0.1332574176009144,0.0,0.0,1.1945866346359253,0.0,0.0,2
random,action_delay,0,0.0,3,-1.0,0.13337543393283108,0.0,0.0,0.9445036053657532,0.0,0.0,2
random,action_delay,0,0.0,4,-1.0,0.13348934649940075,0.0,0.0,1.272186517715454,0.0,0.0,2
random,action_delay,0,0.0,5,-1.0,0.13360041226296027,0.0,0.0,1.4133261442184448,0.0,0.0,2
random,action_delay,0,0.0,6,-1.0,0.13370949863032539,0.0,0.0,1.0483919382095337,0.0,0.0,2
random,action_delay,0,0.0,7,-1.0,0.13381722158535472,0.0,0.0,1.0316214561462402,0.0,0.0,2
random,action_delay,0,0.0,8,-1.0,0.1339240130492869,0.0,0.0,0.5569581389427185,0.0,0.0,2
random,action_delay,0,0.0,9,-1.0,0.13403017713457405,0.0,0.0,0.762890636920929,0.0,0.0,2
random,action_delay,0,0.0,10,-1.0,0.1341359291905905,0.0,0.0,1.399768590927124,0.0,0.0,2
random,action_delay,0,0.0,11,-1.0,0.13424142282443394,0.0,0.0,1.2627509832382202,0.0,0.0,2
random,action_delay,0,0.0,12,-1.0,0.13434676838514448,0.0,0.0,0.8612679243087769,0.0,0.0,2
random,action_delay,0,0.0,13,-1.0,0.1344520457164482,0.0,0.0,0.8483458757400513,0.0,0.0,2
random,action_delay,0,0.0,14,-1.0,0.13455731287842118,0.0,0.0,1.6599959135055542,0.0,0.0,2
random,action_delay,0,0.0,15,-1.0,0.1346626123034967,0.0,0.0,0.7951573729515076,0.0,0.0,2
random,action_delay,0,0.0,16,-1.0,0.13476797511276492,0.0,0.0,1.2510384321212769,0.0,0.0,2
random,action_delay,0,0.0,17,-1.0,0.1348734241890128,0.0,0.0,1.3173425197601318,0.0,0.0,2
random,action_delay,0,0.0,18,-1.0,0.13497897638492062,0.0,0.0,0.9737538695335388,0.0,0.0,2
random,action_delay,0,0.0,19,-1.0,0.13508464411681056,0.0,0.0,0.7565020322799683,0.0,0.0,2
random,action_delay,0,0.0,20,-1.0,0.13519043652985746,0.0,0.0,1.4983510971069336,0.0,0.0,2
random,action_delay,0,0.0,21,-1.0,0.13529636034674378,0.0,0.0,1.3191709518432617,0.0,0.0,2
random,action_delay,0,0.0,22,-1.0,0.1354024204938652,0.0,0.0,0.9295951128005981,0.0,0.0,2
random,action_delay,0,0.0,23,-1.0,0.13550862056337187,0.0,0.0,0.9504311084747314,0.0,0.0,2
random,action_delay,0,0.0,24,-1.0,0.13561496315549015,0.0,0.0,0.7603138089179993,0.0,0.0,2
random,action_delay,0,0.0,25,-1.0,0.13572145013024853,0.0,0.0,1.2237122058868408,0.0,0.0,2
random,action_delay,0,0.0,26,-1.0,0.1358280827968612,0.0,0.0,1.516833782196045,0.0,0.0,2
random,action_delay,0,0.0,27,-1.0,0.1359348620544719,0.0,0.0,1.1506725549697876,0.0,0.0,2
random,action_delay,0,0.0,28,-1.0,0.13604178849476684,0.0,0.0,1.111595630645752,0.0,0.0,2
random,action_delay,0,0.0,29,-1.0,0.13614886248146751,0.0,0.0,1.3322055339813232,0.0,0.0,2
random,action_delay,0,0.0,30,-1.0,0.136256084207051,0.0,0.0,0.6908232569694519,0.0,0.0,2
