method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
rule_based,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
rule_based_recovery,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
rule_based,action_delay,0,0.0,-50.0,0.0,0.15357189702501559,50,0.0,0.0,0.0,0.0,7
rule_based_recovery,action_delay,0,0.0,-16.0,1.0,0.004828060562561178,50,0.07188163697719574,0.3522447645664215,0.0,1.0,7
rule_based,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
rule_based_recovery,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
rule_based,action_delay,0,0.0,-50.0,0.0,0.1329848890006077,50,0.0,0.0,0.0,0.0,9
rule_based_recovery,action_delay,0,0.0,-12.0,1.0,0.0032595152967165824,50,0.059248972684144974,0.2903858721256256,0.0,1.0,9
rule_based,action_reverse,0,0.0,-50.0,0.0,1.506174109107723,50,0.02710726484656334,1.6372742652893066,1.0,0.0,0
rule_based_recovery,action_reverse,0,0.0,-38.0,1.0,0.07402212390226895,50,0.21082977950572968,0.46554550528526306,0.0,1.0,0
rule_based,action_reverse,0,0.0,-50.0,0.0,1.6156827276393133,50,0.03212449327111244,1.5863850116729736,1.0,0.0,1
rule_based_recovery,action_reverse,0,0.0,-37.0,1.0,0.05825588747451051,50,0.21697832643985748,0.486989825963974,0.0,1.0,1
rule_based,action_reverse,0,0.0,-50.0,0.0,0.7700933811731898,50,0.025424664840102196,1.6297633647918701,1.0,0.0,2
rule_based_recovery,action_reverse,0,0.0,-39.0,1.0,0.06664934710452372,50,0.2279253602027893,0.4347173571586609,0.0,1.0,2
rule_based,action_reverse,0,0.0,-50.0,0.0,0.7962299526476647,50,0.020255740731954575,1.6729533672332764,1.0,0.0,3
rule_based_recovery,action_reverse,0,0.0,-39.0,1.0,0.06164213735802596,50,0.23195703327655792,0.5001625418663025,1.0,1.0,3
