method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered
sac_plain,clean,0,0.0,0,-1.0,0.13982133315835896,0.0,0.9334275722503662,0.9334275722503662,0.0,0.0
sac_plain,clean,0,0.0,1,-1.0,0.1313732534969666,0.0,1.1860629320144653,1.1860629320144653,0.0,0.0
sac_plain,clean,0,0.0,2,-1.0,0.11921756836735461,0.0,1.0449163913726807,1.0449163913726807,0.0,0.0
sac_plain,clean,0,0.0,3,-1.0,0.10971034856561006,0.0,1.0345100164413452,1.0345100164413452,0.0,0.0
sac_plain,clean,0,0.0,4,-1.0,0.11651958693543503,0.0,0.9468520879745483,0.9468520879745483,0.0,0.0
sac_plain,clean,0,0.0,5,-1.0,0.09583065654449704,0.0,1.003705382347107,1.003705382347107,0.0,0.0
sac_plain,clean,0,0.0,6,-1.0,0.10287475266218109,0.0,1.3168760538101196,1.3168760538101196,0.0,0.0
sac_plain,clean,0,0.0,7,-1.0,0.1003218700454541,0.0,1.0923787355422974,1.0923787355422974,0.0,0.0
sac_plain,clean,0,0.0,8,-1.0,0.08247161069780966,0.0,0.9201456308364868,0.9201456308364868,0.0,0.0
sac_plain,clean,0,0.0,9,-1.0,0.09995304427362652,0.0,1.3078606128692627,1.3078606128692627,0.0,0.0
sac_plain,clean,0,0.0,10,-1.0,0.08829590896453181,0.0,1.1907788515090942,1.1907788515090942,0.0,0.0
sac_plain,clean,0,0.0,11,-1.0,0.08478527833139164,0.0,0.8624706864356995,0.8624706864356995,0.0,0.0
sac_plain,clean,0,0.0,12,-1.0,0.10699207028693246,0.0,1.2263212203979492,1.2263212203979492,0.0,0.0
sac_plain,clean,0,0.0,13,-1.0,0.0874547466967408,0.0,1.1808747053146362,1.1808747053146362,0.0,0.0
sac_plain,clean,0,0.0,14,-1.0,0.09522864618568785,0.0,0.9260496497154236,0.9260496497154236,0.0,0.0
sac_plain,clean,0,0.0,15,-1.0,0.11092372143476747,0.0,1.1170672178268433,1.1170672178268433,0.0,0.0
sac_plain,clean,0,0.0,16,-1.0,0.0876983224205267,0.0,1.0475618839263916,1.0475618839263916,0.0,0.0
sac_plain,clean,0,0.0,17,-1.0,0.10358103369257607,0.0,1.0797913074493408,1.0797913074493408,0.0,0.0
sac_plain,clean,0,0.0,18,-1.0,0.09953018564411192,0.0,1.0431482791900635,1.0431482791900635,0.0,0.0
