method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score
sac_plain,action_noise,0.05,0.0,-50.0,0.1258398621998194,50.0,0.98712216579375,1.0496752018615478,0.0,0.0,3,0.0,0.2813214430984167,0.0,1.0,0.0,0.12033036077460418
sac_plain,action_scale,0.5,0.0,-50.0,0.1261536640722997,50.0,1.420491836965084,1.3302872975667317,0.6666666666666666,0.0,3,0.0,0.17632236826049918,0.0,0.33333333333333337,0.0,0.060747258731791466
sac_plain,clean,0.0,0.0,-50.0,0.1278733059531532,50.0,0.8917936819295088,1.0290873845418294,0.0,0.0,3,0.0,0.2963608866552673,0.0,1.0,1.0,0.4740902216638168
sac_plain,sensor_noise,0.01,0.0,-50.0,0.11878139235841968,50.0,1.0160537262757618,1.0555867354075115,0.0,0.0,3,0.0,0.3014420154102036,0.0,1.0,0.0,0.1253605038525509
sac_plain,sensor_noise,0.05,0.3333333333333333,-43.0,0.15656507132960548,50.0,1.6700743039449055,1.3313860495885212,1.0,0.0,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.11666666666666667
sac_plain,target_shift,0.03,0.0,-50.0,0.12005703837107494,50.0,0.9027046610911688,1.0284890532493591,0.0,0.0,3,0.0,0.32370166118994054,0.0,1.0,0.0,0.13092541529748514
sac_plain_recovery,action_noise,0.05,0.0,-50.0,0.12513197111050775,50.0,0.922001501217141,1.020082197577658,0.0,0.3333333333333333,6,0.0,0.29963134457876384,0.0,1.0,0.3333333333333333,0.24157450281135762
sac_plain_recovery,action_scale,0.5,0.0,-50.0,0.13123854087664968,50.0,0.9259486260513464,1.039648135503133,0.3333333333333333,0.5,6,0.0,0.2752839288111235,0.0,0.6666666666666667,0.5,0.2771543155361142
sac_plain_recovery,clean,0.0,0.0,-50.0,0.1278733059531532,50.0,0.8917936819295088,1.0290873845418294,0.0,0.0,3,0.0,0.2963608866552673,0.0,1.0,1.0,0.4740902216638168
sac_plain_recovery,sensor_noise,0.01,0.0,-50.0,0.11137841209334337,50.0,1.1286009748776753,1.1009243726730347,0.16666666666666666,0.0,6,0.0,0.3028560268380439,0.0,0.8333333333333334,0.0,0.11738067337617765
sac_plain_recovery,sensor_noise,0.05,0.3333333333333333,-48.833333333333336,0.12989165172867637,50.0,1.6559499303499858,1.2871038913726807,1.0,0.5,6,0.3333333333333333,0.10560274244503604,0.3333333333333333,0.0,0.5,0.31806735227792565
sac_plain_recovery,target_shift,0.03,0.0,-50.0,0.12650033895313856,50.0,0.9083395476142565,1.0288325945536296,0.0,0.0,6,0.0,0.29765956490288686,0.0,1.0,0.0,0.12441489122572172
sac_plain_recovery_recovery,action_noise,0.05,1.0,-6.0,0.010627311537494662,50.0,0.13274184862772623,0.1681597630182902,0.0,0.6666666666666666,3,1.0,0.9274802072400594,1.0,1.0,0.6666666666666666,0.8652033851433482
sac_plain_recovery_recovery,action_scale,0.5,1.0,-7.666666666666667,0.007696894842016207,50.0,0.018399133036533993,0.13391858339309692,0.0,1.0,3,1.0,0.9660966205126696,1.0,1.0,1.0,0.9915241551281674
sac_plain_recovery_recovery,sensor_noise,0.01,1.0,-6.0,0.014511258290515324,50.0,0.17053812742233276,0.19209490716457367,0.0,0.0,3,1.0,0.903543267208383,1.0,1.0,0.0,0.6258858168020958
sac_plain_recovery_recovery,sensor_noise,0.05,1.0,-20.333333333333332,0.042056960343183146,50.0,0.8639532526334127,0.6289623777071635,0.0,1.0,3,1.0,0.631900568108586,1.0,1.0,1.0,0.9079751420271466
sac_plain_recovery_recovery,target_shift,0.03,1.0,-5.666666666666667,0.011157751928356737,50.0,0.12302805483341217,0.1789610634247462,0.0,0.0,3,1.0,0.9277739688559447,1.0,1.0,0.0,0.6319434922139862
