method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used
sac_plain,clean,0,0.0,-50.0,0.0,0.08490790406260926,50,1.496139407157898,1.0283896923065186,0.0,0.0
sac_plain,sensor_noise,0,0.01,-50.0,0.0,0.08638368017377189,50,1.2989007234573364,0.9970428943634033,0.0,0.0
sac_plain_recovery,sensor_noise,0,0.01,-50.0,0.0,0.08452536239248072,50,1.6831915378570557,1.1563177108764648,1.0,0.0
sac_plain,sensor_noise,0,0.05,-50.0,0.0,0.09736458407225473,50,1.8353674411773682,1.3715715408325195,1.0,0.0
sac_plain_recovery,sensor_noise,0,0.05,-50.0,0.0,0.13527490001133216,50,1.6364299058914185,1.157240629196167,1.0,1.0
sac_plain,action_noise,0,0.05,-50.0,0.0,0.08669677237416247,50,1.5356666698986479,1.0571760388320446,0.0,0.0
sac_plain_recovery,action_noise,0,0.05,-50.0,0.0,0.08241722984639441,50,1.4613133668899536,1.0098069906234741,0.0,1.0
sac_plain,action_scale,0,0.5,-50.0,0.0,0.07071872244653202,50,2.1559600830078125,1.4517582654953003,1.0,0.0
sac_plain_recovery,action_scale,0,0.5,-50.0,0.0,0.09642115428782104,50,0.5684106349945068,0.5772643685340881,0.0,1.0
sac_plain,target_shift,0,0.03,-50.0,0.0,0.08387216024478535,50,1.4832749366760254,1.035839557647705,0.0,0.0
sac_plain_recovery,target_shift,0,0.03,-50.0,0.0,0.09786338498356358,50,1.40815007686615,1.0095276832580566,0.0,0.0
sac_plain_recovery,clean,0,0.0,-50.0,0.0,0.08490790406260926,50,1.496139407157898,1.0283896923065186,0.0,0.0
sac_plain_recovery,sensor_noise,0,0.01,-50.0,0.0,0.09391769356688554,50,1.4976609945297241,1.082053542137146,0.0,0.0
sac_plain_recovery_recovery,sensor_noise,0,0.01,-6.0,1.0,0.02268037886724762,50,0.1656837910413742,0.21375204622745514,0.0,0.0
sac_plain_recovery,sensor_noise,0,0.05,-44.0,1.0,0.035389468177408734,50,1.9111851453781128,1.4165154695510864,1.0,0.0
sac_plain_recovery_recovery,sensor_noise,0,0.05,-24.0,1.0,0.038199341438170324,50,0.8834243416786194,0.6685550212860107,0.0,1.0
sac_plain_recovery,action_noise,0,0.05,-50.0,0.0,0.09060549828802217,50,1.4501728886368144,1.0196215416541319,0.0,0.0
sac_plain_recovery_recovery,action_noise,0,0.05,-6.0,1.0,0.022433211370714558,50,0.121535524725914,0.19306087493896484,0.0,1.0
sac_plain_recovery,action_scale,0,0.5,-50.0,0.0,0.07071872244653202,50,2.1559600830078125,1.4517582654953003,1.0,0.0
sac_plain_recovery_recovery,action_scale,0,0.5,-8.0,1.0,0.02193501716472772,50,0.01720569282770157,0.2131742537021637,0.0,1.0
sac_plain_recovery,target_shift,0,0.03,-50.0,0.0,0.0993937333501928,50,1.4988547563552856,1.0345046520233154,0.0,0.0
sac_plain_recovery_recovery,target_shift,0,0.03,-6.0,1.0,0.02226900754438305,50,0.12460458278656006,0.21015805006027222,0.0,0.0
sac_plain,clean,1,0.0,-50.0,0.0,0.11950474284077593,50,1.162229299545288,1.0894273519515991,0.0,0.0
sac_plain,sensor_noise,1,0.01,-50.0,0.0,0.10269763569113825,50,1.2686482667922974,1.154085636138916,0.0,0.0
sac_plain_recovery,sensor_noise,1,0.01,-50.0,0.0,0.0903610488767056,50,1.3862130641937256,1.1931910514831543,0.0,0.0
sac_plain,sensor_noise,1,0.05,-29.0,1.0,0.1867809496490161,50,1.65655517578125,1.3190144300460815,1.0,0.0
sac_plain_recovery,sensor_noise,1,0.05,-49.0,1.0,0.12864543927979324,50,1.7205570936203003,1.2763742208480835,1.0,1.0
sac_plain,action_noise,1,0.05,-50.0,0.0,0.10694933547408551,50,1.267279691471289,1.1185098071682584,0.0,0.0
sac_plain_recovery,action_noise,1,0.05,-50.0,0.0,0.10329551157359189,50,1.0943714380264282,1.0446557998657227,0.0,1.0
sac_plain,action_scale,1,0.5,-50.0,0.0,0.11889040531496532,50,2.0734310150146484,1.519589900970459,1.0,0.0
sac_plain_recovery,action_scale,1,0.5,-50.0,0.0,0.12480882852195664,50,0.6912224292755127,0.7105530500411987,0.0,1.0
sac_plain,target_shift,1,0.03,-50.0,0.0,0.10470073158637996,50,1.100144624710083,1.0761398077011108,0.0,0.0
sac_plain_recovery,target_shift,1,0.03,-50.0,0.0,0.11614317520322004,50,1.1694759130477905,1.0916074514389038,0.0,0.0
sac_plain_recovery,clean,1,0.0,-50.0,0.0,0.11950474284077593,50,1.162229299545288,1.0894273519515991,0.0,0.0
sac_plain_recovery,sensor_noise,1,0.01,-50.0,0.0,0.07125188214745075,50,1.3144009113311768,1.1504695415496826,0.0,0.0
sac_plain_recovery_recovery,sensor_noise,1,0.01,-6.0,1.0,0.011113606989262847,50,0.16881228983402252,0.18940632045269012,0.0,0.0
sac_plain_recovery,sensor_noise,1,0.05,-50.0,0.0,0.18141816434415614,50,1.8012590408325195,1.3353521823883057,1.0,0.0
sac_plain_recovery_recovery,sensor_noise,1,0.05,-22.0,1.0,0.038259200536004505,50,0.8694483637809753,0.6142361164093018,0.0,1.0
sac_plain_recovery,action_noise,1,0.05,-50.0,0.0,0.11641385722977673,50,1.2281979809687051,1.1058151264356477,0.0,0.0
sac_plain_recovery_recovery,action_noise,1,0.05,-7.0,1.0,0.004442772204376961,50,0.1358587145805359,0.16651828587055206,0.0,0.0
sac_plain_recovery,action_scale,1,0.5,-50.0,0.0,0.11889040531496532,50,2.0734310150146484,1.519589900970459,1.0,0.0
sac_plain_recovery_recovery,action_scale,1,0.5,-8.0,1.0,0.0005898913795705528,50,0.020919496193528175,0.10528076440095901,0.0,1.0
sac_plain_recovery,target_shift,1,0.03,-50.0,0.0,0.0888834207983837,50,1.1362427473068237,1.0899100303649902,0.0,0.0
sac_plain_recovery_recovery,target_shift,1,0.03,-6.0,1.0,0.0019788439789903437,50,0.127701997756958,0.1795957386493683,0.0,0.0
sac_plain,clean,2,0.0,-50.0,0.0,0.17920727095607433,50,0.0170123390853405,0.9694451093673706,0.0,0.0
sac_plain,sensor_noise,2,0.01,-50.0,0.0,0.16726286121034892,50,0.480612188577652,1.0156316757202148,0.0,0.0
sac_plain_recovery,sensor_noise,2,0.01,-50.0,0.0,0.16771831679950447,50,0.4137773811817169,1.0034418106079102,0.0,0.0
sac_plain,sensor_noise,2,0.05,-50.0,0.0,0.1855496802675456,50,1.5183002948760986,1.303572177886963,1.0,0.0
sac_plain_recovery,sensor_noise,2,0.05,-50.0,0.0,0.1557043691992978,50,1.3959040641784668,1.2103947401046753,1.0,1.0
sac_plain,action_noise,2,0.05,-50.0,0.0,0.18387347875121024,50,0.15842013601131322,0.9733397595843405,0.0,0.0
sac_plain_recovery,action_noise,2,0.05,-50.0,0.0,0.18291502413277325,50,0.14740876853466034,0.9692118167877197,0.0,0.0
sac_plain,action_scale,2,0.5,-50.0,0.0,0.18885186445540172,50,0.03208441287279129,1.019513726234436,0.0,0.0
sac_plain_recovery,action_scale,2,0.5,-50.0,0.0,0.1877402702332213,50,0.03458318114280701,0.9592095017433167,0.0,1.0
sac_plain,target_shift,2,0.03,-50.0,0.0,0.1715982232820595,50,0.12469442188739777,0.9734877943992615,0.0,0.0
sac_plain_recovery,target_shift,2,0.03,-50.0,0.0,0.17824242018337821,50,0.10633993148803711,0.9732919931411743,0.0,0.0
sac_plain_recovery,clean,2,0.0,-50.0,0.0,0.17920727095607433,50,0.0170123390853405,0.9694451093673706,0.0,0.0
sac_plain_recovery,sensor_noise,2,0.01,-50.0,0.0,0.16049616877703318,50,0.4763619601726532,1.02007257938385,0.0,0.0
sac_plain_recovery_recovery,sensor_noise,2,0.01,-6.0,1.0,0.009739789015035506,50,0.17711830139160156,0.17312635481357574,0.0,0.0
sac_plain_recovery,sensor_noise,2,0.05,-50.0,0.0,0.14291756936007016,50,1.4703643321990967,1.3267461061477661,1.0,0.0
sac_plain_recovery_recovery,sensor_noise,2,0.05,-15.0,1.0,0.049712339055374595,50,0.8389870524406433,0.604095995426178,0.0,1.0
sac_plain_recovery,action_noise,2,0.05,-50.0,0.0,0.17514470559248815,50,0.1505445642462841,0.9713819100992525,0.0,0.0
sac_plain_recovery_recovery,action_noise,2,0.05,-5.0,1.0,0.005005951037392469,50,0.14083130657672882,0.1449001282453537,0.0,1.0
sac_plain_recovery,action_scale,2,0.5,-50.0,0.0,0.18885186445540172,50,0.03208441287279129,1.019513726234436,0.0,0.0
sac_plain_recovery_recovery,action_scale,2,0.5,-7.0,1.0,0.0005657759817503506,50,0.01707221008837223,0.08330073207616806,0.0,1.0
sac_plain_recovery,target_shift,2,0.03,-50.0,0.0,0.17847589920009302,50,0.13097386062145233,0.9741537570953369,0.0,0.0
sac_plain_recovery_recovery,target_shift,2,0.03,-5.0,1.0,0.009225404261696822,50,0.11677758395671844,0.14712940156459808,0.0,0.0
